adjacent_lower_tolerance,adjacent_upper_tolerance,breakout_anchor_difference,detection_shift,invalidation_anchor_difference,lineage_class,lower_first_detected_index,lower_lifecycle_ordinal,lower_terminal_index,lower_tolerance,market,root_swing_identity_sha256,symbol,terminal_shift,upper_first_detected_index,upper_lifecycle_ordinal,upper_terminal_index,upper_tolerance
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,753,2,754,0.03,CN,sha256:52f0e38dfe5279fd4abf1c8c465b87cf479c74dd4f9097e3a5d5a2a4c4110b72,600018.SH,0,753,5,754,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,812,3,813,0.03,CN,sha256:3a9a26ef61dc78191a1ba3493367ab4e658a03d24d6fad95cee3cf6420de30a3,600018.SH,0,812,6,813,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,864,4,864,0.03,CN,sha256:1a76c34b4f4a5e67537a578b7de8c093f9c731e1a64f5da9fc01b723f624c0df,600018.SH,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1401,5,1410,0.03,CN,sha256:a37afbe9f342a7a1d3ad761c6e610536fdce4dfd087ed6b7df196cce86f03178,600018.SH,0,1401,10,1410,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1483,6,1497,0.03,CN,sha256:b8affc29d40636f589ffd905bbbf5c600499928ec7eef65f8c3a69e97d5557e6,600018.SH,0,1483,11,1497,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1636,7,1643,0.03,CN,sha256:2e97292c7de5da75c440f41d07d84f32183944d52d489dfa1307d229f0fcbc90,600018.SH,0,1636,13,1643,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1688,8,1695,0.03,CN,sha256:0cde930fa72ef20e4439f6eb57638022fbbcfeff56eed34e1b2383107b1e7e08,600018.SH,0,1688,14,1695,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1717,9,1717,0.03,CN,sha256:8e1f89faeaac89c1ad45a99095faedd20d2079981863a4de9bc4e2458e2542fd,600018.SH,0,1717,15,1717,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,1753,10,1766,0.03,CN,sha256:338b8bb01944e38f303d76ace0ce5b7c67bd725da1ebeb1d65b5bb030a701bb0,600018.SH,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2064,11,2077,0.03,CN,sha256:7eea219c14990016fc15ce175cc58c4d9c96c65c3cda95193c2682d745ad7cd4,600018.SH,0,2064,17,2077,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2101,12,2106,0.03,CN,sha256:fc466335b75e79e179db3962010eba74178c7d9ab5d550ca30e1ccfd1761cb0d,600018.SH,0,2101,18,2106,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2172,13,2184,0.03,CN,sha256:1575963696c2f7ba006df05a1b7944251938d45911c2ef9d3a177053426e79f0,600018.SH,0,2172,20,2184,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2240,14,2259,0.03,CN,sha256:c938da825d4480d12a20e3d074eefed7e7df7c94aacaa377cb3c0c26c689f7c7,600018.SH,0,2240,21,2259,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,2301,15,2302,0.03,CN,sha256:1d90fba2d9ac41d36726ed9e2141d0b107ef4f67ac2cee0528f7dee7accbdc36,600018.SH,,,,,
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:d9b92f770799a953f583a1bb30b621e002273c8e40d12a0d0f4836575138a255,600018.SH,,409,1,410,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:25e52cc4047dc07ef5ace9b915ea586f0be05b80257313125a94887799ecdd29,600018.SH,,488,2,489,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:da0afc87fb29abe0aa3d46c69a26db3ab1a9c6e3ba5fb09afb572894e055e694,600018.SH,,695,4,696,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:7e70cc60766d3974a837e4a22be92bd808a7664480451ca3479fe2e697eacdc8,600018.SH,,851,7,851,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:7d111af75b52616f4eb20f2c6629af2d7fc9f31c74b27134b0565fb8a08dc3d1,600018.SH,,1046,8,1047,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:50f5147a18817fafe63383b8613f3566f85d23e208295b90b7df7fe7f6028ed8,600018.SH,,1125,9,1134,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:16fb2ee76ca155eede93e26a5343c7972a5c1e4082d7ec8f90476425c5bd6a68,600018.SH,,1508,12,1508,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:bf9396162f653fdfc9c532f9666842609fd266b66af5f6b2b0ea39acf4e11490,600018.SH,,1742,16,1766,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:08bd8b2d73aa767f04fb9a8bd71d4b6c0952c53e7173cf038c6f2d0fee6ac8b3,600018.SH,,2121,19,2123,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:4519377c6da68c8eb273b35a01848d07ea53e5f595e1e348fb3311ab40aaca81,600018.SH,,2296,22,2297,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,409,1,410,0.04,CN,sha256:d9b92f770799a953f583a1bb30b621e002273c8e40d12a0d0f4836575138a255,600018.SH,0,409,1,410,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,488,2,489,0.04,CN,sha256:25e52cc4047dc07ef5ace9b915ea586f0be05b80257313125a94887799ecdd29,600018.SH,0,488,2,489,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,595,3,596,0.04,CN,sha256:1f532ad8096dd26ba7ea2717c79b9f6d7b9701ced3439a719811fda8c4e53d98,600018.SH,0,595,3,596,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,695,4,696,0.04,CN,sha256:da0afc87fb29abe0aa3d46c69a26db3ab1a9c6e3ba5fb09afb572894e055e694,600018.SH,0,695,4,696,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,753,5,754,0.04,CN,sha256:52f0e38dfe5279fd4abf1c8c465b87cf479c74dd4f9097e3a5d5a2a4c4110b72,600018.SH,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,812,6,813,0.04,CN,sha256:3a9a26ef61dc78191a1ba3493367ab4e658a03d24d6fad95cee3cf6420de30a3,600018.SH,0,812,6,813,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,851,7,851,0.04,CN,sha256:7e70cc60766d3974a837e4a22be92bd808a7664480451ca3479fe2e697eacdc8,600018.SH,0,851,7,851,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1046,8,1047,0.04,CN,sha256:7d111af75b52616f4eb20f2c6629af2d7fc9f31c74b27134b0565fb8a08dc3d1,600018.SH,0,1046,9,1047,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1125,9,1134,0.04,CN,sha256:50f5147a18817fafe63383b8613f3566f85d23e208295b90b7df7fe7f6028ed8,600018.SH,0,1125,10,1134,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1401,10,1410,0.04,CN,sha256:a37afbe9f342a7a1d3ad761c6e610536fdce4dfd087ed6b7df196cce86f03178,600018.SH,0,1401,13,1410,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,1483,11,1497,0.04,CN,sha256:b8affc29d40636f589ffd905bbbf5c600499928ec7eef65f8c3a69e97d5557e6,600018.SH,,,,,
0.04,0.05,,,,CASCADE_DESCENDANT,1508,12,1508,0.04,CN,sha256:16fb2ee76ca155eede93e26a5343c7972a5c1e4082d7ec8f90476425c5bd6a68,600018.SH,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1636,13,1643,0.04,CN,sha256:2e97292c7de5da75c440f41d07d84f32183944d52d489dfa1307d229f0fcbc90,600018.SH,0,1636,15,1643,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1688,14,1695,0.04,CN,sha256:0cde930fa72ef20e4439f6eb57638022fbbcfeff56eed34e1b2383107b1e7e08,600018.SH,0,1688,16,1695,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1717,15,1717,0.04,CN,sha256:8e1f89faeaac89c1ad45a99095faedd20d2079981863a4de9bc4e2458e2542fd,600018.SH,0,1717,17,1717,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1742,16,1766,0.04,CN,sha256:bf9396162f653fdfc9c532f9666842609fd266b66af5f6b2b0ea39acf4e11490,600018.SH,0,1742,18,1766,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2064,17,2077,0.04,CN,sha256:7eea219c14990016fc15ce175cc58c4d9c96c65c3cda95193c2682d745ad7cd4,600018.SH,0,2064,20,2077,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2101,18,2106,0.04,CN,sha256:fc466335b75e79e179db3962010eba74178c7d9ab5d550ca30e1ccfd1761cb0d,600018.SH,0,2101,21,2106,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2121,19,2123,0.04,CN,sha256:08bd8b2d73aa767f04fb9a8bd71d4b6c0952c53e7173cf038c6f2d0fee6ac8b3,600018.SH,0,2121,22,2123,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2172,20,2184,0.04,CN,sha256:1575963696c2f7ba006df05a1b7944251938d45911c2ef9d3a177053426e79f0,600018.SH,0,2172,23,2184,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2240,21,2259,0.04,CN,sha256:c938da825d4480d12a20e3d074eefed7e7df7c94aacaa377cb3c0c26c689f7c7,600018.SH,0,2240,24,2259,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2296,22,2297,0.04,CN,sha256:4519377c6da68c8eb273b35a01848d07ea53e5f595e1e348fb3311ab40aaca81,600018.SH,0,2296,25,2297,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:ae39906b620edafcc00d83e5d20236a74c3026247b4f2b0db99c0923df8552aa,600018.SH,,710,5,744,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:15407f29b166049e8f4e3408b61fe8014a080603be385159033556a0fd494e28,600018.SH,,887,8,910,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:275a4c8dbc8304663378f6844843561b1ee46cb0ff813736ce59591bd4aa6015,600018.SH,,1233,11,1237,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:9e240e2ef6d5ece4643ee7ee85c7c80bd589198a768d687eabec6609c53dd465,600018.SH,,1250,12,1257,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:c8f01afbb5ce8b2bc940f7fbca63f70009d1cfd62c3bcb7bc140578cd58d0b71,600018.SH,,1478,14,1528,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:16b3d98bf43be28d7b491cb7e15d26ff1424310b1d5804cd159a394e945fd3bf,600018.SH,,1965,19,1975,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,481,1,483,0.03,CN,sha256:590d3eb5d4059d878a5b5d0acb074172aecbeede2b1f266a2746e2c565b3dd35,600657.SH,0,481,1,483,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,848,2,848,0.03,CN,sha256:32b25f870315192de74685e94d45d0978ee1ce684376b198c8ed0e8d59dfbc0f,600657.SH,0,848,2,848,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2203,3,2206,0.03,CN,sha256:1379e2444518cf4937f26c966c80d72e5018ed818dcd3775676be2b792e59785,600657.SH,0,2203,5,2206,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:0978daba5dbb86410f8877ba85e6a6ac6e7a604749d53615ffd7a606fa09ba39,600657.SH,,2002,3,2003,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:4a4e9cebc8e6230987e135cd59f60268a3018b9d1e9cce04cd47c4605953ffe2,600657.SH,,2089,4,2114,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,481,1,483,0.04,CN,sha256:590d3eb5d4059d878a5b5d0acb074172aecbeede2b1f266a2746e2c565b3dd35,600657.SH,0,481,2,483,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,848,2,848,0.04,CN,sha256:32b25f870315192de74685e94d45d0978ee1ce684376b198c8ed0e8d59dfbc0f,600657.SH,0,848,3,848,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2002,3,2003,0.04,CN,sha256:0978daba5dbb86410f8877ba85e6a6ac6e7a604749d53615ffd7a606fa09ba39,600657.SH,0,2002,6,2003,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,2089,4,2114,0.04,CN,sha256:4a4e9cebc8e6230987e135cd59f60268a3018b9d1e9cce04cd47c4605953ffe2,600657.SH,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2203,5,2206,0.04,CN,sha256:1379e2444518cf4937f26c966c80d72e5018ed818dcd3775676be2b792e59785,600657.SH,0,2203,9,2206,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:ec921607eee57b79e9bea599d734e842cc234a91f5ecea5e105eb5b47533c572,600657.SH,,399,1,400,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:494a1ccb51a3257985b1d8ad337e1f5b7d4e3b064531367b8ad365d38ac8efb3,600657.SH,,1254,4,1256,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:a2bc84d41f5e2043dcac3df73d701e29fffa3c31253d60564dce3911781de187,600657.SH,,1491,5,1502,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:8e885d4638d7399a8e67ab1c2d4d130681301291ff9fa9c2cb8bd6e5eb1fa676,600657.SH,,2075,7,2114,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:ef7255747f7f7b9e7fb621ab8ca798253b51469e04c5f40dcb6ec26bf6297cea,600657.SH,,2180,8,2181,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:9104ab1401dfd98776684cf8648a0e43657ebd57847571e1fb5ffd7f1fe5c89f,600657.SH,,2285,10,2287,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,599,1,628,0.03,CN,sha256:7a89ad0fdfb5de51ede181ad5415cf1dee3e378fed3e0e65e21767dca4866d3f,601360.SH,0,599,1,628,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,1241,2,1242,0.03,CN,sha256:bbbc84fa6a9f4dd9d2348dd59bf95f1024c9c44eecc7cb8d1ea1816a6ce769dd,601360.SH,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1268,3,1269,0.03,CN,sha256:ea1b425358387529a6a7101e3ccf2be46c2b5c8445a5f158d1c4e6061076b44b,601360.SH,0,1268,4,1269,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2332,4,,0.03,CN,sha256:d18a3d43f3517a03aa06e86e98456f54b1670811cda21488a5b4cc6817b27ea7,601360.SH,,2332,7,,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:ba7f32482e21bad59669bb1b67408f7e35565bf15a94b6d71a9170c252b121e3,601360.SH,,730,2,730,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:5ba5f51c51f262b4a071c78a0364dd6ed87095e202bfcfe860f0c05e4a9cdb7f,601360.SH,,1214,3,1232,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:827aee0db8c2a6b1b7c83a4855b1cc079d85d2fd63909ced705594d752e4c37d,601360.SH,,1444,5,1449,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:ac03f7cd0df846fbbce9f2786ab6de6f09cfe66cc3c631ea9897efa830ad902c,601360.SH,,2242,6,2243,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,599,1,628,0.04,CN,sha256:7a89ad0fdfb5de51ede181ad5415cf1dee3e378fed3e0e65e21767dca4866d3f,601360.SH,0,599,1,628,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,730,2,730,0.04,CN,sha256:ba7f32482e21bad59669bb1b67408f7e35565bf15a94b6d71a9170c252b121e3,601360.SH,0,730,2,730,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1214,3,1232,0.04,CN,sha256:5ba5f51c51f262b4a071c78a0364dd6ed87095e202bfcfe860f0c05e4a9cdb7f,601360.SH,0,1214,4,1232,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1268,4,1269,0.04,CN,sha256:ea1b425358387529a6a7101e3ccf2be46c2b5c8445a5f158d1c4e6061076b44b,601360.SH,0,1268,5,1269,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1444,5,1449,0.04,CN,sha256:827aee0db8c2a6b1b7c83a4855b1cc079d85d2fd63909ced705594d752e4c37d,601360.SH,0,1444,6,1449,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2242,6,2243,0.04,CN,sha256:ac03f7cd0df846fbbce9f2786ab6de6f09cfe66cc3c631ea9897efa830ad902c,601360.SH,0,2242,9,2243,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2332,7,,0.04,CN,sha256:d18a3d43f3517a03aa06e86e98456f54b1670811cda21488a5b4cc6817b27ea7,601360.SH,,2332,10,,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:d5ef810ca4c5f7ac58916034c1af404a87fa15d4a64d0afc117073f8a38cbc53,601360.SH,,853,3,853,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:c7ea863a11dec8c8dbcbe859b67c3c9e15f8232e31785a0ed92b26206656f0ec,601360.SH,,1702,7,1704,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:fbd0fa6fd8b3e5ae661b56bab8bd1d3677f3ac399ca6ba870ee27b847757eb62,601360.SH,,2059,8,2082,0.05
0.03,0.04,,,,CASCADE_DESCENDANT,226,1,232,0.03,CN,sha256:ce53579de36695dbf0b16e24e18d13d7f8923b14054bc6ff421c9f717278e36c,601598.SH,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,352,2,352,0.03,CN,sha256:7935c3bfbd14ee67d1cc4e2d5f491ebb9153a65c9b3b4abb9ba94bd454df4a58,601598.SH,0,352,2,352,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,843,3,859,0.03,CN,sha256:50a6a072bd6680408a3f182d39abf742f76c2ff82df4212c47d5834ec4748342,601598.SH,0,843,3,859,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1218,4,1219,0.03,CN,sha256:fa9ea1648014d1160d7b2b7d4b9f0da550c549b484874f4a45013ac6ff1eafe1,601598.SH,0,1218,5,1219,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1534,5,1574,0.03,CN,sha256:d8b8bb8cfa3660ea53e905e46cfbf3eed0db6106c0a5a2102c3ced38cbe47e6b,601598.SH,0,1534,7,1574,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1692,6,1693,0.03,CN,sha256:3b14cc4b87e7d131e91647b38d5cfc43944786676c0d3df3a25283fb6edcec8b,601598.SH,0,1692,8,1693,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:11fde96208d5e384df4190929155f1b937d3f3745a4a51f6ec4fcbe40e749481,601598.SH,,217,1,240,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:b62467d35b7b7b8ab38b452faeb11a282abdad50aaf26ebaf37b65ae1e920e4f,601598.SH,,1103,4,1109,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:7a4601930bf94025c6d33a3b6858e0a5627ab200921bf81bd4e944231c454e92,601598.SH,,1461,6,1488,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:d41fd5298d40988240b6c66ff8b92077fa7c7ca96a27c09951daff6d2f3403e4,601598.SH,,1784,9,1790,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,217,1,240,0.04,CN,sha256:11fde96208d5e384df4190929155f1b937d3f3745a4a51f6ec4fcbe40e749481,601598.SH,0,217,2,240,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,352,2,352,0.04,CN,sha256:7935c3bfbd14ee67d1cc4e2d5f491ebb9153a65c9b3b4abb9ba94bd454df4a58,601598.SH,0,352,3,352,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,843,3,859,0.04,CN,sha256:50a6a072bd6680408a3f182d39abf742f76c2ff82df4212c47d5834ec4748342,601598.SH,0,843,4,859,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,1103,4,1109,0.04,CN,sha256:b62467d35b7b7b8ab38b452faeb11a282abdad50aaf26ebaf37b65ae1e920e4f,601598.SH,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1218,5,1219,0.04,CN,sha256:fa9ea1648014d1160d7b2b7d4b9f0da550c549b484874f4a45013ac6ff1eafe1,601598.SH,0,1218,6,1219,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1461,6,1488,0.04,CN,sha256:7a4601930bf94025c6d33a3b6858e0a5627ab200921bf81bd4e944231c454e92,601598.SH,0,1461,7,1488,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1534,7,1574,0.04,CN,sha256:d8b8bb8cfa3660ea53e905e46cfbf3eed0db6106c0a5a2102c3ced38cbe47e6b,601598.SH,0,1534,8,1574,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1692,8,1693,0.04,CN,sha256:3b14cc4b87e7d131e91647b38d5cfc43944786676c0d3df3a25283fb6edcec8b,601598.SH,0,1692,9,1693,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1784,9,1790,0.04,CN,sha256:d41fd5298d40988240b6c66ff8b92077fa7c7ca96a27c09951daff6d2f3403e4,601598.SH,0,1784,10,1790,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:bc57525cb1b2fe9c8d4684e8ec8a121eff7ec2a89addb183233ad7be6c1755b6,601598.SH,,194,1,195,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:60be0049ace5c6d1f0bd985791cbdb818e5fdf3f8f062b2cf8d1606444f779eb,601598.SH,,1083,5,1098,0.05
0.03,0.04,,,,CASCADE_DESCENDANT,160,1,161,0.03,CN,sha256:cd8380823c8410d162e672d990f742c00ae8b9b22db3944ed58e3e7591e4038c,601888.SH,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,603,2,603,0.03,CN,sha256:4bc15f0fad91391f70679763433fb9cb4586ff6b1d9ec907d2920bde17c2221b,601888.SH,0,603,2,603,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,633,3,643,0.03,CN,sha256:428fcd9b0a6ccdc769034d41f7829b5fd0ec0ee518f38527e044c6b582a4904c,601888.SH,0,633,3,643,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,687,4,694,0.03,CN,sha256:61d424ee49c559a9b560c2919def9651f6c63fbf1d6dce4a25de8af8de05b798,601888.SH,0,687,4,694,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,912,5,925,0.03,CN,sha256:ec65332e1774445f28088aba5c2abedaf3fb1a1d880dc24c88833f93679d9a0d,601888.SH,0,912,6,925,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1478,6,1479,0.03,CN,sha256:3890b918d2e306f981a00ba332f8acad41050bdcdf73efea1c5011cd8b32bd6f,601888.SH,0,1478,7,1479,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1981,7,1988,0.03,CN,sha256:d5d7eb637154e20eb1cce30fafae9ee4eafd82e86f03e297da6ed5138007fa4c,601888.SH,0,1981,10,1988,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2066,8,2067,0.03,CN,sha256:d6c48c1dd59641252f711073c1909d05a90d27b07d6a33e54e497e83c91d8798,601888.SH,0,2066,11,2067,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2218,9,2219,0.03,CN,sha256:44bd106858b8caf03f2c58a6b3337b87215c290181a381eb589e0ea8f3d576d9,601888.SH,0,2218,12,2219,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:534c6641732e7dfafee277d1cc722deecbd2f3fa62b216c91ec53a9bfe43e61d,601888.SH,,143,1,164,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:249d7366907c7388609a88b07b754fb55f6c52c21faab716626972769ba7d8c9,601888.SH,,785,5,786,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:db5e37c750991a90ee5248bd20a12aa9498e770064c8f603c808ac2c18eeb288,601888.SH,,1729,8,1748,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:7123d3979961bfd7e4c39a9b6366a11838c2c0b4f14571366e80f54b5e8bbe80,601888.SH,,1806,9,1810,0.04
0.04,0.05,,,,CASCADE_DESCENDANT,143,1,164,0.04,CN,sha256:534c6641732e7dfafee277d1cc722deecbd2f3fa62b216c91ec53a9bfe43e61d,601888.SH,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,603,2,603,0.04,CN,sha256:4bc15f0fad91391f70679763433fb9cb4586ff6b1d9ec907d2920bde17c2221b,601888.SH,0,603,2,603,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,633,3,643,0.04,CN,sha256:428fcd9b0a6ccdc769034d41f7829b5fd0ec0ee518f38527e044c6b582a4904c,601888.SH,0,633,3,643,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,687,4,694,0.04,CN,sha256:61d424ee49c559a9b560c2919def9651f6c63fbf1d6dce4a25de8af8de05b798,601888.SH,0,687,4,694,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,785,5,786,0.04,CN,sha256:249d7366907c7388609a88b07b754fb55f6c52c21faab716626972769ba7d8c9,601888.SH,0,785,5,786,0.05
